Date idea
Buraco
Canasta
Backgammon
Checkers
Continental Rummy
Contract Bridge
Crazy Eights
Cribbage
Dominoes
Escoba 
Euchre
Flash Cards
Gin Rummy
Go Fish
Go
Hearts
Hockey
Indian Rummy
Joking Hazard
Kaiser
Match Up
Mexican Train
Pinochle
President
Pusoy Dos
Reversi
Rummy 
Shithead
Spades
